place,lat,long,value
"ESC, NUCLEO SAN LUIS",-18.1413,-63.48095,44.58
"ESC, REPUBLICA DEL BRASIL",-17.569681,-63.230297,27.69
ESC.  29 DE JUNIO,-18.05655,-63.42663,50.65
ESC.  ALFREDO VACA FLOR,-16.670979,-63.864672,86.61
ESC.  EL JAGUE,-18.02102,-64.32232,45.83
ESC.  MIXTO LOS ANDES,-16.885189,-63.832018,82.55
ESC.  UNID. EDU. FELIX PAZ VIEIRA,-17.293579,-63.043467,51.34
ESC. 1 DE SEPTIEMBRE,-17.09076,-63.08397,61.64
ESC. 10 DE NOVIEMBRE,-16.430695,-63.107362,70.66
ESC. 12 DE ABRIL,-18.45699,-63.21368,46.43
ESC. 12 DE JULIO,-20.04149,-63.53097,41.38
ESC. 16 DE MARZO,-20.04896,-63.52925,44.88
ESC. 17 DE FEBRERO,-15.249007,-63.864105,86.45
ESC. 24 DE SEPTIEMBRE,-20.04004,-63.5203,35.34
ESC. 25 DE MAYO,-18.136474,-62.049977,84.62
ESC. 25 DE MAYO (CHIQUITOS),-17.665,-62.72187,80.22
ESC. 26 DE AGOSTO,-17.460065,-62.621185,65.76
ESC. 26 DE OCT. FE Y ALEGRIA,-16.801311,-62.757887,91.24
ESC. 3 DE MAYO,-17.619489,-62.229437,54.16
ESC. 4 DE MARZO,-16.937875,-63.901851,88.85
ESC. 6 DE ABRIL,-15.6334,-63.567876,65.48
ESC. 9 DE ABRIL,-16.60111,-63.66607,68.25
ESC. ABEL ITURRALDE,-20.04487,-63.52305,35.7
ESC. ADHEMAR ORTIZ,-17.610627,-63.525299,61.61
ESC. ADRIAN JUSTINIANO ROCA,-17.59505,-63.01891,36.5
ESC. AGUAICES,-16.896858,-63.310846,65.76
ESC. ALBERTO RIBERA TAPIA,-18.15956,-63.50418,57.11
ESC. ALFREDO SMITH,-16.32987,-62.90907,39.61
ESC. ALTA GRACIA,-13.63675,-63.66943,37.25
ESC. ALTO SECO,-18.870714,-64.073897,43.66
ESC. ANANIAS MELENDRES,-17.97899,-64.03188,63.09
ESC. ANGEL MARIA LIMPIAS,-17.35743,-63.39923,24.5
ESC. ANGEL SAAVEDRA CHAVEZ,-18.194066,-63.968651,41.27
ESC. ANGELICA RIVERO,-18.990373,-57.793147,31.82
ESC. APONTE J. MANUEL O.H. DEL CHACO,-20.04499,-63.52154,35.75
ESC. APONTE TINEO(ESC.GREGORIO MORENO),-17.766085,-63.18357,10.35
ESC. ASCENCION CENTRAL,-15.897535,-63.189148,45.96
ESC. ASTILLERO,-18.40132,-64.3554,75.24
ESC. ASUNCION DEL QUIQUIBEY,-14.64125,-67.51161,47.83
ESC. BELISARIO SANTISTEBAN,-16.70072,-60.96719,55.73
ESC. BENJAMIN CATACORA,-16.319984,-59.449556,40.96
ESC. BUEN DESTINO,-11.76321,-66.76987,82.29
ESC. CACHUELA,-16.20543,-63.11323,82.26
ESC. CAIRO II,-14.20468,-63.52425,100
ESC. CAMPAMENTO,-15.178595,-61.017949,43.56
ESC. CAMPO ANA MARIA,-12.94433,-65.57471,73.91
ESC. CAÑADA DOS,-18.06299,-63.32237,85.83
ESC. CANANDOA,-16.522665,-63.712271,79.01
ESC. CANDELARIA (CHIQUITOS),-18.626116,-58.986879,53.57
ESC. CARLOS MAYSER,-16.37827,-60.96424,26.53
ESC. CASAMONTES,-18.704296,-64.029522,31.3
ESC. CENT. JULIO FLORES FRANCO,-16.44536,-62.01875,43.15
ESC. CENTRAL ANGEL FOIANINI,-17.8802,-63.2851,48.12
ESC. CENTRAL BAQUETY,-12.53514,-66.79783,91.49
ESC. CENTRAL BASILIO,-18.12562,-63.19316,59.78
ESC. CENTRAL BELLA VICTORIA,-18.234377,-63.945482,46.89
ESC. CENTRAL DE ITANAMBIKUA,-20.018151,-63.51152,75.4
ESC. CENTRAL EL PUQUIO,-16.732505,-61.911699,98.98
ESC. CENTRAL FRANZ TAMAYO,-16.998596,-62.845439,76.13
ESC. CENTRAL GUADALUPE,-18.55554,-64.08943,45.1
ESC. CENTRAL IPATIMIRI,-19.775085,-63.484202,65.06
ESC. CENTRAL IYOBI,-19.388571,-62.535016,56.24
ESC. CENTRAL MONTEVERDE,-17.92225,-63.501220000000004,84.03
ESC. CENTRAL RAFAEL PABON,-20.43133,-63.28176,52.45
ESC. CENTRAL SAN CARLOS,-17.40302,-63.72837,33.54
ESC. CENTRAL SAN PEDRO,-16.672412,-62.249595,32.86
ESC. CENTRAL SAN RAMON,-16.61663,-62.49786,42.53
ESC. CENTRAL URBANA,-20.010454,-63.536192,52.19
ESC. CESAR BANZER ALIAGA,-17.40066,-63.88105,63.72
ESC. CIUDAD SATELITE NORTE,-17.60657,-63.14571,55.25
ESC. CLARACUTA,-17.733489,-63.154764,19.86
ESC. COL  CIRO MEALLA,-16.907358,-62.61414,69.15
ESC. COL. CONSTANTINO CUELLAR,-17.506414,-63.164262,37.52
ESC. COLEGIO JULIA SAID,-17.512132,-63.164069,50.19
ESC. COLONIA 5 DE MARZO,-15.365206,-63.785943,58.33
ESC. COLONIA WARNES,-19.211878,-57.948444,77.36
ESC. CONSTANZA VARGAS,-11.73581,-66.73828,40.91
ESC. COOP EDUCACIONAL PUERTO SUAREZ,-18.966289,-57.801748,36.86
ESC. COOPERE BRECHA,-19.650771,-62.625886,73.68
ESC. CORRALON,-16.36582,-63.21976,85.32
ESC. COTOCA (CORDILLERA),-18.578866,-63.273667,18.75
ESC. CRISTIANA EVANGELICA,-20.04179,-63.52061,31.79
ESC. DANIEL ZAMBRANA,-18.82769,-58.62548,45.96
ESC. DE CHACOPATA,-18.357379,-64.228447,37.9
ESC. DON BOSCO,-18.33508,-59.75139,32.82
ESC. DON BOSCO,-16.38181,-60.9684,37.23
ESC. DON BOSCO FE Y ALEGRIA,-17.35061,-64.09068,77.79
ESC. EDEY CORBAN SEHALLER,-18.717645,-64.18601,53.71
ESC. EDUARDO ABAROA,-18.385553,-63.209715,49.01
ESC. EDUARDO ABAROA,-17.55737,-63.6379,69.64
ESC. EDUARDO AVAROA,-16.962872,-63.232138,66.95
ESC. EDUCACIONAL TAPERAS,-17.65825,-62.70883,38.05
ESC. EDUCATIVA MAKANATE,-15.485105,-62.29666,96.15
ESC. EL CARMEN DE GUACAYANE,-13.12766,-64.37999,100
ESC. EL CERRITO,-13.09042,-66.7103,33.75
ESC. EL COLORADO,-17.17983,-63.42475,56.52
ESC. EL COMBATE,-15.969751,-64.483235,70.59
ESC. EL DESENGAÑO,-14.27502,-65.44534,49.57
ESC. EL JIPA,-17.504279,-63.145855,53.97
ESC. EL PALLAR,-16.762518,-64.81531,69.52
ESC. EL PROGRESO,-16.91284,-62.62124,74.56
ESC. EL TINTO,-17.66647,-61.51249,42.57
ESC. EL TUNA,-16.62828,-59.6983,21.48
ESC. ELENA VACA ANTELO,-17.99134,-63.3835,49.8
ESC. ELIODORO PAZ,-18.96109,-57.79655,30.15
ESC. EMILIA CABALLERO,-17.96113,-64.63905,81.25
ESC. EMILIO FINOT,-19.42237,-63.530809,38.4
ESC. EMILIO SUNCER SALINAS,-17.601882,-61.988438,54.31
ESC. ENRIQUE QUINTELA,-20.011848,-63.184159,56.57
ESC. ESCUELA SAN MATEO,-17.75753,-64.66927,87.82
ESC. ESTACION CHARAGUA,-19.782664,-63.148697,49.87
